	SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002-mock3-indexG3	CoV002-mock2-indexG2	CoV002-mock1-indexG1	CoV002-CoV2-3-indexG6	CoV002-CoV2-2-indexG5	CoV002-CoV2-1-indexG4	svRNA184-mock-3-indexF3	svRNA184-mock-1-indexF1	svRNA184-RSV-3-indexH9	svRNA184-RSV-1-indexF4	3_9_mock1_13	3_9_mock2_14	3_9_wt1_15	3_9_wt2_16
SOX2	182	174	241	92	132	317	28	18	13	37	34	25	271	198	59	23	18	39	14	3
FLJ46066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP11B	694	716	1369	618	613	1846	637	309	203	932	529	471	242	336	73	48	137	284	288	46
DCUN1D1	566	513	867	334	392	1259	458	250	114	828	418	336	231	204	49	20	125	265	397	47
MCCC1	242	255	332	169	167	602	416	233	183	571	434	368	336	356	79	48	81	201	191	19
LAMP3	21	40	27	44	44	117	12	2	2	25	24	12	19	37	91	48	0	3	5	0
MCF2L2	7	8	20	1	6	6	9	4	2	9	8	4	8	13	3	7	2	5	4	2
B3GNT5	722	800	1839	719	843	2087	196	94	67	306	188	125	60	66	42	16	33	69	115	18
LOC100505687	45	70	111	35	28	133	187	91	76	263	184	136	110	176	31	19	44	103	118	17
KLHL6	9	8	7	6	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KLHL24	277	279	562	223	239	619	331	155	108	359	197	161	271	294	99	37	68	111	153	21
YEATS2	1601	1396	2218	1488	1430	4266	1133	654	472	1466	1260	985	552	584	268	170	200	396	460	90
MAP6D1	7	22	20	12	11	32	86	49	36	75	89	55	28	18	11	9	12	14	19	6
PARL	362	294	599	302	301	983	765	410	280	1160	835	582	523	401	158	162	139	294	353	65
ABCC5	1112	1066	1593	945	1061	2832	790	423	312	909	733	563	815	676	262	137	143	223	227	70
ABCC5-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EIF2B5	820	684	1041	655	731	2001	901	530	450	1201	1037	735	1071	786	287	262	171	365	304	107
DVL3	1280	1204	1721	1138	934	2918	1092	654	540	1263	1193	946	1198	974	484	234	210	459	305	94
AP2M1	5727	5108	8378	5480	4812	14134	6562	3813	2754	7247	6724	4810	4566	3504	1590	1258	1237	2367	1997	676
ABCF3	521	480	784	502	453	1412	799	529	393	927	925	618	939	681	218	175	188	333	294	56
VWA5B2	0	0	0	0	0	0	24	21	15	41	36	32	250	176	99	50	9	19	4	1
MIR1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG3	700	621	964	722	565	1957	1061	590	369	1184	1060	730	1673	1276	540	315	199	446	199	124
ECE2	59	48	95	50	55	160	241	126	99	254	256	166	280	170	88	93	35	81	26	28
CAMK2N2	1	0	1	1	2	4	13	20	10	21	16	20	60	27	18	15	4	13	1	1
PSMD2	6056	4726	8093	5601	5671	17786	7107	4113	3199	7742	7440	5417	3043	2531	835	646	1059	1953	1708	621
EIF4G1	12258	10012	16462	11855	11180	33051	9290	5109	3973	10122	9230	7238	5052	4299	1271	1156	1613	2951	2704	753
SNORD66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM131A	121	117	203	115	113	268	111	63	74	163	135	102	165	127	46	24	25	46	8	8
CLCN2	44	52	42	45	29	139	141	76	75	145	129	128	221	174	87	69	21	40	27	14
POLR2H	420	349	444	335	376	978	739	375	320	948	776	534	1393	1057	423	276	110	180	192	49
THPO	0	0	0	0	0	0	1	1	1	0	1	0	2	4	0	0	0	1	0	0
CHRD	0	1	0	0	0	0	13	5	1	6	6	4	51	30	10	13	0	1	1	0
EPHB3	155	179	239	126	93	297	34	26	15	36	24	14	144	123	9	13	6	10	7	3
MAGEF1	205	150	326	149	160	432	740	428	327	867	747	650	885	649	225	117	152	281	264	57
VPS8	495	412	757	299	370	1093	611	307	211	959	585	497	620	549	186	90	135	232	301	54
C3orf70	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EHHADH-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHHADH	234	165	377	171	165	595	187	103	89	281	224	172	88	105	26	12	40	96	88	12
MAP3K13	347	360	645	344	344	1165	360	175	129	507	368	259	409	440	148	77	81	172	171	40
TMEM41A	400	443	706	355	344	1080	484	252	161	698	525	431	332	259	123	76	87	188	142	45
LIPH	186	167	264	190	173	603	657	321	261	925	686	554	601	486	347	209	177	364	321	75
SENP2	1053	871	1549	793	932	2659	563	307	236	763	577	431	245	266	101	49	119	256	263	53
IGF2BP2	2427	2036	3513	2027	2108	6384	270	163	124	379	336	260	325	317	100	80	61	129	113	30
C3orf65	0	0	1	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0
TRA2B	933	869	1535	826	831	2807	3209	1721	1182	4560	3153	2348	1384	1287	492	253	563	1181	2294	402
LOC344887	84	82	119	53	61	174	446	278	210	560	413	287	808	578	170	98	108	214	133	34
ETV5	275	209	349	205	206	692	729	429	361	939	737	535	475	455	184	134	198	360	378	116
DGKG	3	4	5	5	5	15	413	244	178	541	466	326	244	193	61	30	77	190	170	26
LOC253573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGS	10	5	11	22	7	17	9	8	7	23	8	6	84	48	16	8	2	2	4	6
TBCCD1	109	86	177	98	104	299	179	107	68	245	198	153	137	149	57	33	48	107	82	16
DNAJB11	1310	1118	1728	1086	1219	3383	1244	726	609	1964	1602	1314	2967	2347	1140	565	225	538	964	164
AHSG	3	1	0	0	0	0	2	5	1	13	8	3	112	118	5	3	1	3	0	1
FETUB	1	2	1	0	3	4	1	0	0	0	0	1	15	3	0	0	1	3	2	0
HRG	3	1	8	2	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KNG1	0	0	0	0	0	0	1	1	0	0	2	1	5	9	1	0	1	1	0	0
EIF4A2	4384	4202	7822	3638	4248	10537	3635	1971	1349	5809	3865	2971	4270	5085	1380	517	837	1911	1931	353
SNORD2	1	11	22	11	15	42	24	8	6	27	20	21	5	12	0	1	3	9	19	3
MIR1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA81	0	1	1	0	1	7	7	6	1	17	5	8	0	5	1	1	2	2	3	2
SNORA63	2	4	2	2	5	1	14	5	3	20	13	4	7	11	2	0	3	10	4	0
SNORA4	8	5	7	4	6	21	10	7	2	14	11	5	4	15	4	2	1	8	3	3
RFC4	247	227	344	166	198	414	993	556	439	1605	1193	864	692	611	128	105	191	494	711	112
ADIPOQ	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST6GAL1	877	756	1169	615	679	2007	227	144	88	307	224	206	485	501	66	34	46	88	77	17
RPL39L	27	37	64	31	27	51	733	375	263	900	741	500	646	450	172	101	119	318	236	68
RTP1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASP1	0	0	4	1	1	2	0	0	0	0	0	1	2	8	2	2	0	0	0	0
RTP4	21	18	39	25	17	71	1	0	0	0	0	1	2	0	15	18	0	0	0	0
SST	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
RTP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100131635	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
BCL6	532	510	679	470	439	1133	245	135	96	314	222	170	614	550	110	103	54	87	89	29
LPP-AS2	5	10	11	3	2	14	63	26	22	55	47	41	52	51	11	8	7	11	20	3
LPP	797	861	1368	684	644	1871	1454	579	445	1661	765	581	1101	1355	217	115	258	508	478	102
FLJ42393	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	1
TPRG1	19	20	44	21	21	59	5	1	0	5	2	1	8	7	0	0	0	3	2	0
TPRG1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP63	4469	4058	6418	4186	3941	11691	150	93	63	262	145	148	98	48	6	0	11	22	21	4
MIR944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEPREL1	345	297	449	282	300	840	917	433	409	1102	977	753	886	757	278	218	176	320	360	75
CLDN1	2918	3056	5285	3456	3402	9525	1597	864	634	2417	1874	1456	1127	1313	554	265	323	637	804	199
CLDN16	44	38	81	40	32	68	3	1	1	4	3	3	9	3	1	2	1	4	5	3
TMEM207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1RAP	485	445	728	378	371	1092	146	69	55	215	148	126	62	60	41	20	11	35	53	8
GMNC	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SNAR-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTS2D	1	0	3	0	0	1	0	0	1	2	1	0	1	0	0	0	0	0	1	0
CCDC50	510	536	933	499	547	1640	843	420	362	1243	850	651	498	468	211	113	213	360	583	94
PYDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF12	4	3	8	3	7	14	31	20	16	33	31	17	43	29	13	6	4	9	15	5
MB21D2	62	44	97	46	33	150	216	91	65	242	230	154	52	56	31	25	27	68	46	18
HRASLS	9	11	15	3	8	28	1	1	0	1	1	2	0	3	2	0	0	0	0	0
MGC2889	2	5	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ATP13A5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP13A4	34	29	30	26	33	99	0	0	0	0	1	0	3	2	0	0	0	1	2	0
OPA1	1104	1152	1892	944	1004	2965	1362	653	452	2172	1291	976	491	496	157	71	286	617	898	181
OPA1-AS1	1	1	0	2	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1
LOC647323	1	0	0	1	0	0	1	2	0	4	12	4	5	11	0	0	0	5	1	1
DPPA2P3	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0
HES1	486	477	770	574	374	1087	80	60	38	81	69	56	2174	1849	771	389	11	46	62	21
LOC100131551	15	9	17	13	16	32	23	10	9	32	34	22	77	103	31	16	5	8	5	2
CPN2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
LRRC15	0	1	0	1	0	0	2	1	2	4	4	2	3	0	0	1	0	1	1	0
GP5	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0
ATP13A3	699	718	1741	781	757	2160	1891	898	627	2733	1683	1218	491	566	221	99	251	543	740	182
FLJ34208	4	2	8	1	3	7	1	1	0	1	3	0	2	0	0	0	1	0	0	0
TMEM44-AS1	15	12	13	9	8	12	84	53	33	90	75	63	152	114	45	39	15	22	11	13
TMEM44	158	156	226	160	137	424	515	279	259	571	549	411	917	611	335	256	83	144	118	30
LSG1	626	492	932	494	496	1487	1013	623	498	1357	1206	902	729	677	198	127	235	458	628	116
FAM43A	35	25	38	23	14	29	89	45	38	115	88	68	18	28	31	24	17	31	19	9
LOC100507391	0	0	0	0	0	0	0	0	1	3	1	0	2	0	0	0	0	0	0	0
XXYLT1	282	296	535	292	300	896	562	293	255	613	592	462	407	330	145	122	96	151	137	32
ACAP2	580	500	808	397	415	1212	461	268	198	677	405	329	150	133	39	21	140	292	445	84
MIR5692C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2	387	293	482	251	278	762	346	181	140	532	332	256	263	276	80	39	87	184	399	75
APOD	96	104	115	60	51	143	5	4	5	12	10	7	139	117	11	11	1	2	7	1
SDHAP2	207	168	249	168	177	500	508	312	252	621	523	405	402	334	113	87	94	141	180	37
MIR570	7	7	6	5	1	21	19	11	14	22	15	18	8	14	4	3	5	8	1	0
MUC20	1453	1386	1510	868	833	1993	13	8	5	11	4	15	82	65	16	14	4	7	7	0
MUC4	1411	1271	1642	1468	927	3842	9	0	2	5	2	3	18	9	5	6	2	2	0	1
TNK2	313	373	527	352	227	789	601	312	271	567	557	466	836	565	263	178	104	150	57	41
SDHAP1	28	26	39	25	35	99	119	71	41	136	118	109	130	126	31	25	20	31	26	5
TFRC	1388	1259	2809	1524	1576	4157	7611	3721	2843	11521	7455	5429	1082	1775	324	215	457	888	1392	278
LOC401109	10	9	16	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC19	0	0	0	0	0	0	0	0	0	3	0	1	6	5	2	0	0	1	0	0
SLC51A	1	2	0	3	3	4	13	3	2	11	3	5	5	11	0	3	1	2	3	0
PCYT1A	1180	1016	1892	856	981	2866	629	356	285	738	667	550	304	241	85	67	138	270	275	43
TCTEX1D2	20	23	47	16	20	46	138	64	42	163	131	93	139	96	60	19	17	40	20	7
TM4SF19-TCTEX1D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TM4SF19	0	0	0	1	0	0	6	4	1	10	3	1	1	3	1	1	1	0	3	0
UBXN7	602	513	928	443	387	1328	352	164	135	425	325	234	94	119	29	15	88	188	226	28
RNF168	225	219	342	216	213	737	309	173	131	365	329	238	219	153	41	38	73	142	137	33
C3orf43	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
WDR53	146	95	192	112	118	364	161	74	56	238	173	124	217	163	72	25	32	50	49	18
FBXO45	179	139	232	163	126	384	305	142	85	404	306	190	62	92	22	19	59	122	165	33
LRRC33	0	1	0	2	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0
CEP19	62	49	93	38	50	92	116	50	47	139	116	91	92	101	33	15	25	65	72	12
PIGX	125	107	209	84	103	275	535	291	232	677	509	422	506	461	127	90	98	241	263	72
PAK2	1552	1404	2485	1366	1315	3821	1374	705	524	1962	1373	968	708	729	217	92	350	716	1016	164
SENP5	387	326	523	267	309	924	358	198	154	472	370	270	379	283	107	70	95	175	136	20
NCBP2	1626	1437	2727	1522	1509	4335	997	539	388	1469	1120	808	1006	1061	264	190	212	436	588	95
LOC152217	249	243	300	160	188	588	316	189	128	409	348	250	379	288	123	56	71	163	105	34
PIGZ	63	74	72	67	48	147	64	28	30	72	57	43	107	110	50	20	8	26	4	5
MFI2	508	452	593	404	381	1008	1710	944	739	1634	1555	1221	1085	825	413	255	231	456	149	75
MFI2-AS1	23	21	25	22	11	52	58	28	19	56	51	27	183	91	27	22	6	19	11	4
DLG1	2650	3072	5802	2620	2770	7555	713	360	278	1095	722	562	330	425	85	52	155	348	554	71
MIR4797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLG1-AS1	12	2	14	5	10	21	3	0	0	3	0	0	5	0	0	0	0	1	2	0
BDH1	126	93	141	98	129	408	101	54	53	110	121	53	127	88	14	5	32	35	18	13
LOC220729	47	60	77	49	51	114	152	103	78	209	144	126	170	169	47	18	35	76	86	15
KIAA0226	230	248	440	272	212	712	294	183	139	330	291	226	198	202	114	75	44	94	85	19
MIR922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FYTTD1	1084	915	1754	927	1003	2779	798	386	287	1302	731	617	283	246	141	78	161	396	653	103
LRCH3	252	242	338	234	290	836	316	153	145	436	326	274	80	89	30	24	66	128	198	21
IQCG	130	105	166	80	80	239	127	51	48	177	137	78	111	117	32	20	34	51	130	17
RPL35A	5831	4669	8055	4203	4660	13880	5373	3176	2492	8034	6065	4316	9694	6870	3651	2123	1098	3069	2976	436
LMLN	292	297	438	249	254	699	167	88	91	265	172	135	173	173	46	32	40	79	146	12
ANKRD18DP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FAM157A	2	4	6	5	2	14	3	2	1	2	1	1	4	0	3	1	3	0	1	0
ZNF595	78	107	163	62	69	229	14	7	2	28	26	13	5	6	3	1	0	4	5	0
ZNF718	25	37	87	21	17	46	4	4	2	13	5	1	0	0	0	0	0	0	0	0
ZNF876P	5	6	8	7	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF732	8	9	11	5	8	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF141	33	26	53	39	33	107	42	17	13	72	52	37	2	1	1	1	7	13	20	3
ABCA11P	21	23	27	19	19	115	37	19	23	59	43	36	47	36	9	8	6	23	28	10
ZNF721	315	327	519	226	263	793	183	102	85	355	182	151	139	184	31	17	44	135	194	47
PIGG	634	613	974	596	554	1577	724	369	335	815	711	537	528	504	156	91	127	192	204	40
PDE6B	1	0	3	1	0	0	0	0	0	0	2	1	2	3	1	2	1	0	1	0
ATP5I	1258	1244	1677	1133	921	3387	1249	753	453	1524	1412	794	2443	1488	804	487	176	389	660	71
MYL5	35	59	49	42	34	122	108	74	56	118	105	85	370	260	82	75	12	43	17	3
MFSD7	6	9	5	7	6	10	28	12	7	23	7	11	24	18	7	3	3	2	1	0
PCGF3	849	856	1286	883	849	2527	659	382	304	819	621	571	928	767	248	146	126	244	267	69
LOC100129917	18	11	18	11	14	33	64	36	32	74	44	38	34	32	11	6	9	28	13	0
CPLX1	2	4	9	2	4	14	5	6	4	6	12	3	24	13	15	0	4	6	0	0
GAK	868	861	1356	981	776	2439	1385	806	619	1458	1380	1045	1621	1157	534	263	266	505	254	114
TMEM175	68	71	82	59	35	114	219	113	83	206	197	176	538	384	162	87	43	65	20	16
DGKQ	114	144	175	191	86	309	500	276	232	434	446	338	601	480	219	151	83	137	30	17
SLC26A1	1	2	0	0	0	0	99	46	35	77	81	48	133	132	26	21	9	23	15	1
IDUA	64	103	111	74	37	167	400	205	170	397	364	295	1744	1202	897	383	36	85	22	13
FGFRL1	322	357	454	371	285	856	508	274	207	532	540	427	801	660	290	142	110	187	132	51
RNF212	3	9	15	10	2	19	5	4	1	11	9	2	24	29	11	12	3	13	17	0
TMED11P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SPON2	43	74	81	49	31	71	20	8	11	17	12	13	190	115	34	22	1	3	0	2
LOC100130872	0	0	0	0	0	0	3	0	0	0	0	1	1	4	2	2	1	2	0	0
CTBP1	702	685	1014	758	565	1560	1981	1174	871	2098	2048	1491	2772	2038	949	431	377	706	420	145
CTBP1-AS1	86	62	70	82	56	150	202	116	98	244	208	175	281	277	70	46	49	88	60	20
MAEA	684	620	1239	725	588	1709	1471	897	624	1644	1471	1098	932	781	282	149	269	556	743	125
UVSSA	107	121	157	101	90	254	246	114	111	256	244	156	222	166	68	50	45	72	69	15
CRIPAK	32	52	64	44	27	133	115	40	29	97	80	68	209	177	78	32	12	24	27	13
FAM53A	1	3	3	6	1	3	30	18	13	30	42	23	60	38	20	12	5	10	5	2
SLBP	340	294	605	275	253	811	1410	801	597	1928	1412	1154	674	681	220	107	261	613	853	142
TMEM129	370	396	459	402	254	867	1041	613	477	979	976	719	1506	1062	317	299	183	318	21	33
TACC3	254	205	339	223	177	493	2839	1728	1388	3035	3038	2401	2149	1459	339	266	581	975	1103	314
FGFR3	557	712	1011	565	388	1193	73	42	24	84	84	55	765	592	127	46	19	40	25	6
LETM1	831	761	1373	1001	882	2684	1359	799	660	1592	1546	1124	1049	717	248	219	264	488	325	149
WHSC1	836	670	1183	707	699	2112	4045	2319	1774	4479	3992	3170	1922	1651	497	326	775	1289	1575	273
SCARNA22	9	6	6	9	1	12	22	11	14	26	25	12	13	4	3	0	5	21	4	7
NELFA	154	160	240	173	118	278	424	229	184	479	402	366	746	501	193	118	70	139	105	36
MIR943	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0
C4orf48	5	5	8	1	2	15	630	301	224	600	554	422	753	443	359	154	89	136	15	28
NAT8L	7	10	15	7	4	14	666	348	268	627	598	478	322	262	103	78	72	139	37	10
POLN	24	9	17	16	8	41	41	26	18	72	45	49	84	53	20	10	11	14	25	3
HAUS3	96	142	273	107	93	247	229	124	77	436	251	180	190	210	32	22	44	105	150	37
MXD4	724	801	1183	926	509	1674	850	429	369	734	729	590	1325	915	408	224	194	375	178	51
MIR4800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFYVE28	11	19	10	7	5	20	96	44	28	81	86	78	268	184	54	27	22	24	9	3
LOC402160	0	0	0	0	0	0	2	1	1	4	1	3	9	14	0	0	0	1	0	0
RNF4	1071	942	1583	1076	1030	2962	1681	1005	799	2286	2017	1453	742	632	212	166	362	723	748	196
FAM193A	449	448	748	465	420	1252	478	234	202	483	471	357	677	480	240	139	85	147	195	30
TNIP2	262	297	383	312	284	953	1012	520	426	1038	918	728	1097	785	263	237	127	256	147	68
SH3BP2	981	1193	1564	1046	933	2607	166	110	87	243	177	130	530	448	165	74	42	71	29	18
ADD1	2608	2396	3688	2321	2257	6647	2588	1473	1137	2910	2700	2101	1578	1266	476	323	493	877	1052	266
MFSD10	407	456	668	621	362	1189	1644	1023	777	1715	1720	1303	2579	1730	869	573	254	413	73	110
NOP14-AS1	434	349	525	375	355	1300	148	82	45	166	149	116	149	96	45	21	18	48	36	15
NOP14	992	808	1381	928	1031	2792	910	507	444	1187	1054	809	455	387	133	115	158	324	568	94
GRK4	12	10	17	9	7	40	10	5	5	14	10	7	13	6	10	4	2	5	0	0
HTT-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTT	1342	1217	1939	1268	1162	3762	1620	870	710	1599	1363	1123	830	620	173	140	253	428	446	88
MSANTD1	0	0	1	0	0	3	6	2	7	6	6	1	13	5	7	6	1	1	0	0
RGS12	1028	950	1504	1164	774	2277	446	311	193	477	415	377	477	339	100	73	98	151	143	35
HGFAC	0	1	1	1	0	0	18	9	4	12	6	7	95	66	4	5	3	4	2	2
DOK7	0	5	2	7	3	7	11	3	3	6	3	7	93	82	7	6	1	2	0	0
LRPAP1	1224	1301	1867	1458	1121	2924	2012	1189	902	2077	2061	1579	3263	2382	891	700	347	719	744	203
FLJ35424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100133461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA2C	3	6	3	3	2	2	211	89	80	194	211	160	310	186	84	55	33	71	19	18
FAM86EP	6	16	17	20	12	27	125	73	65	145	127	96	96	84	33	18	20	35	40	15
OTOP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM128	71	56	102	51	52	158	225	150	84	318	207	194	214	218	56	54	54	104	61	13
LYAR	376	271	540	320	301	1044	412	228	172	608	451	326	459	323	190	84	91	202	385	72
ZBTB49	53	65	62	41	47	135	89	49	31	114	95	71	67	60	32	19	15	39	50	15
NSG1	410	384	648	352	296	976	9	0	0	7	6	3	2	6	3	0	0	4	2	4
STX18	490	444	674	377	433	1248	383	238	145	520	436	337	512	432	186	106	91	264	346	47
LOC100507266	15	5	20	7	16	16	20	9	3	14	25	8	20	16	7	4	1	8	8	0
MSX1	8	11	12	6	3	16	143	84	67	138	160	126	108	91	94	36	40	58	22	28
CYTL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK32B	8	2	2	1	1	1	391	260	177	434	431	354	452	373	82	35	127	270	338	79
C4orf6	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
EVC2	73	58	118	73	76	265	166	88	66	169	175	128	123	72	11	32	40	44	53	12
EVC	612	617	803	584	510	1619	865	447	364	860	900	587	255	184	65	42	158	276	156	58
CRMP1	2	9	0	6	2	14	228	113	89	230	226	178	330	244	88	39	35	89	85	29
MIR378D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAKMIP1	0	0	0	0	0	0	1	0	1	1	0	0	2	2	4	0	0	1	2	0
LOC285484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WFS1	294	249	325	276	168	565	813	418	314	853	815	588	611	440	227	140	123	212	143	64
PPP2R2C	93	105	121	89	89	197	1637	939	771	1851	1781	1414	1077	940	304	204	371	637	806	159
MAN2B2	719	760	1016	743	556	1773	717	393	323	726	649	532	533	482	176	123	138	230	212	59
MRFAP1	2053	1907	3232	2195	1810	5581	5244	2972	2104	7163	5404	4194	4799	3649	782	565	1073	2089	3282	596
LOC93622	180	164	218	162	173	518	379	193	160	394	326	273	336	282	89	74	71	187	100	28
S100P	442	426	652	632	601	1873	264	161	85	299	270	155	1174	883	390	376	38	70	52	7
MRFAP1L1	553	546	1357	601	492	1447	973	490	388	1349	952	801	1213	1175	252	145	199	431	511	69
BLOC1S4	66	70	99	101	50	193	380	191	202	436	396	268	478	341	147	111	52	112	34	18
KIAA0232	796	736	1288	667	772	2087	1037	485	399	1526	1069	776	651	677	176	115	232	437	501	87
TBC1D14	1105	921	1663	1060	865	2738	989	562	443	1067	1047	739	117	102	41	12	184	345	375	80
LOC100129931	14	19	6	9	11	29	4	1	0	7	2	7	5	3	0	0	0	2	1	0
CCDC96	36	28	42	27	21	83	67	41	23	73	66	58	75	61	15	6	14	31	18	3
TADA2B	223	230	386	255	237	594	512	302	266	623	558	441	530	413	126	84	115	153	141	63
GRPEL1	655	512	810	547	605	1914	933	508	431	1296	1050	714	838	615	215	166	157	329	457	99
FLJ36777	0	0	0	0	0	0	2	2	0	5	1	4	21	8	3	1	1	3	1	0
SORCS2	18	26	19	20	17	68	165	97	79	198	179	143	101	60	97	72	47	78	45	12
MIR4798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAPL1	0	0	0	0	0	0	6	6	4	5	4	6	12	26	0	2	3	1	4	1
MIR4274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1-AS1	14	5	10	7	1	27	10	4	8	5	7	5	0	1	3	0	1	3	3	0
AFAP1	855	789	1243	952	888	2635	2022	1279	937	2372	2202	1790	716	696	246	169	372	736	767	183
ABLIM2	5	14	14	4	7	28	23	14	6	14	22	14	36	33	16	10	3	14	8	0
SH3TC1	248	234	308	323	187	635	309	154	127	295	301	233	370	237	117	88	52	82	29	16
HTRA3	0	0	0	0	1	1	24	12	8	16	25	27	8	2	8	6	8	9	5	4
ACOX3	132	119	195	138	99	411	301	177	116	318	317	246	128	118	57	33	38	90	89	32
TRMT44	124	127	177	115	115	351	175	77	82	177	150	126	130	126	52	19	39	49	30	13
GPR78	0	0	3	2	2	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CPZ	0	1	0	0	3	7	4	3	2	4	2	2	4	7	3	0	1	1	0	0
HMX1	0	0	0	0	0	0	7	4	3	6	7	4	12	8	21	12	1	5	0	0
LOC650293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
